         83757 function calls (80757 primitive calls) in 0.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 pickle.py:181(<listcomp>)
      418    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 lzma.py:9(<module>)
        1    0.000    0.000    0.002    0.002 checks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 utils.py:348(BoundedSemaphore)
      621    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
      621    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
      480    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      102    0.000    0.000    0.002    0.000 re.py:170(match)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      221    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
      384    0.001    0.000    0.001    0.000 typing.py:587(_is_dunder)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 meta.py:12(<module>)
      219    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
       39    0.001    0.000    0.001    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.001    0.001 constants.py:16(<module>)
      365    0.001    0.000    0.001    0.000 socket.py:86(<lambda>)
     1333    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
      158    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
      364    0.001    0.000    0.001    0.000 socket.py:81(<lambda>)
      366    0.001    0.000    0.001    0.000 socket.py:91(<lambda>)
      363    0.001    0.000    0.001    0.000 socket.py:76(<lambda>)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        4    0.000    0.000    0.001    0.000 core.py:123(doc_note)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
     1333    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       25    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
        4    0.000    0.000    0.001    0.000 re.py:205(split)
        1    0.000    0.000    0.001    0.001 tempfile.py:426(gettempdir)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
       30    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 tempfile.py:325(_get_default_tempdir)
        2    0.000    0.000    0.001    0.001 version.py:1(<module>)
       51    0.000    0.000    0.001    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
       34    0.001    0.000    0.001    0.000 functools.py:37(update_wrapper)
      307    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      501    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     1531    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
     10/6    0.000    0.000    0.001    0.000 typing.py:337(__getitem__)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:21(<module>)
       27    0.000    0.000    0.001    0.000 core.py:919(__init__)
      180    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      998    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      381    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:367(_get_scalar_type_map)
       34    0.000    0.000    0.001    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:378(<dictcomp>)
       44    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
       18    0.000    0.000    0.001    0.000 core.py:995(__init__)
      336    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      292    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      106    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       84    0.000    0.000    0.001    0.000 enum.py:526(__new__)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      723    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 defchararray.py:17(<module>)
      437    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.001    0.000 enum.py:830(__or__)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        4    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.001    0.001 ast.py:26(<module>)
      848    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       77    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       66    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       30    0.000    0.000    0.001    0.000 getlimits.py:42(<lambda>)
       25    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      146    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      539    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        9    0.000    0.000    0.001    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:115(_add_aliases)
      233    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        4    0.000    0.000    0.001    0.000 typing.py:816(__class_getitem__)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       10    0.000    0.000    0.001    0.000 extras.py:238(__init__)
        4    0.000    0.000    0.001    0.000 enum.py:793(_missing_)
      562    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        4    0.000    0.000    0.001    0.000 re.py:185(sub)
      444    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      219    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        4    0.000    0.000    0.001    0.000 enum.py:800(_create_pseudo_member_)
        1    0.000    0.000    0.001    0.001 __init__.py:259(_reset_cache)
      180    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
       10    0.000    0.000    0.001    0.000 extras.py:242(getdoc)
      104    0.000    0.000    0.001    0.000 enum.py:18(_is_descriptor)
       17    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       59    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       57    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
